component,round,delivery_reliability,rejection_pct,Order lines previous round,Purchase value previous round,Transport costs previous round,Demand per week (piece or liter),Purchase price,Order size,Stock (pieces or liters),Stock (weeks),Stock value,Economic inventory (weeks),obsolete_pct,component_availability,Bias,Amount purchased previous round (piece or liters)
Pack 1 liter,0,0.923,0.0363,5.7443,110691.8301,4552.0621,132257.2227,0.0311,619636.3636,564440,4.2535,17553.4588,8.7013,0,0.9953,0.0007,3559348
Pack 1 liter,1,0.9262,0.0367,5.7443,106201.7953,4367.415,126831.2944,0.0311,594501.8182,547295,4.299,17020.2863,8.739,0,0.9921,0.0007,3414969
Pack 1 liter,2,0.9266,0.0348,5.7733,105827.6258,4352.0278,126619.817,0.0311,589430.3518,544977,4.2875,16948.1797,8.7182,0,0.9905,0.0007,3402938
Pack 1 liter,3,0.9263,0.0357,5.7443,107729.6544,4430.2463,128885.6405,0.0311,603054.5455,686259,5.3079,21341.908,9.7525,0,0.9991,0.0007,3464098
Pack 1 liter,4,0.9281,0.0368,5.7152,107932.3296,4438.5811,129163.9712,0.0311,607256.0406,673752,5.203,20952.9519,9.6435,0,0.9997,0.0007,3470615
Pack 1 liter,5,0.9271,0.0358,5.7733,110832.1437,4557.8323,131679.1085,0.0311,617304.1206,699977,5.2981,21768.5078,9.7413,0,0.9984,0.0007,3563860
Pack 1 liter,6,0.9419,0.0349,7.5139,107029.6605,4939.3079,126944.2502,0.0312,456085.251,605993,4.7583,18925.9542,9.1322,0,1.0,0.0007,3427001
PET,0,0.8411,0.0589,5.9183,307931.2057,145393.1825,204296.6023,0.0547,951612.3529,851667,4.1547,46565.5796,7.663,0,0.9949,-0.0003,5631948
PET,1,0.7812,0.0576,5.9183,295294.2067,140694.3004,196808.6934,0.0542,920445.8824,731017,3.7,39626.4977,7.7058,0,0.9789,-0.0003,5447495
PET,2,0.6294,0.0581,5.8893,287861.223,139405.6181,195404.2848,0.0533,916308.1773,720700,3.6746,38444.2779,7.651,0,0.9727,-0.0003,5396423
PET,3,0.6392,0.0585,5.9473,292704.3325,141930.0891,198864.7545,0.0533,923958.439,738265,3.7026,39324.8187,7.7056,0,0.9793,-0.0003,5495089
PET,4,0.9343,0.0322,5.7152,275661.9319,115249.7161,199554.9197,0.0515,936705.3807,853377,4.2651,43942.0503,8.6313,0,0.9992,-0.0003,5353498
PET,5,0.9342,0.0352,4.7869,279147.3631,116572.0581,201106.2999,0.0514,1133450.1818,971479,4.826,49981.8165,9.1794,0,0.9999,-0.0003,5425688
PET,6,0.9427,0.029,7.3109,273332.4689,114451.5024,197996.1013,0.0515,725275.7143,754633,3.7974,38900.4803,8.1489,0,0.997,-0.0004,5302395
Orange,0,0.9776,0.0103,5.3961,409042.2309,35046.0693,35360.3394,0.4392,172580.6452,160757,4.53,70609.639,10.8007,0,0.9929,0.0003,931265
Orange,1,0.9784,0.0098,5.3961,389962.936,33443.2305,33963.7016,0.4393,164516.129,153082,4.4893,67244.4939,10.7426,0,0.9884,0.0003,887748
Orange,2,0.9794,0.0118,5.3961,389962.936,33443.2305,33846.143,0.4393,164516.129,153335,4.5123,67355.9044,10.779,0,0.9918,0.0003,887748
Orange,3,0.9798,0.0106,5.3961,397213.068,34052.3093,34456.0563,0.4393,167580.6452,189843,5.492,83389.9729,11.7656,0,0.9938,0.0003,904285
Orange,4,0.9779,0.0106,5.4251,397980.2469,34120.4299,34552.8984,0.4393,167005.3476,190415,5.4964,83641.6377,11.7677,0,0.9933,0.0003,906025
Orange,5,0.9482,0.0113,5.4251,410385.7415,26282.5484,35099.8287,0.444,170374.3316,190107,5.4026,84406.5315,8.7149,0,0.999,0.0003,924303
Orange,6,0.9467,0.0107,5.4832,398436.3839,25545.2426,34053.7571,0.444,163650.7937,149185,4.3661,66242.4266,7.6743,0,0.9972,0.0003,897322
Mango,0,0.9369,0.0049,5.3091,81657.5009,3314.0294,3164.9045,0.9925,15497.2678,14089,4.447,13982.7317,7.6794,0,1.0,0.0004,82276
Mango,1,0.9244,0.0048,5.3381,77988.0689,3196.0605,3028.1676,0.992,14728.2609,13563,4.4708,13453.8076,7.7363,0,0.9986,0.0004,78621
Mango,2,0.9234,0.0052,5.3091,78099.1042,3196.7016,3020.8025,0.9919,14830.6011,13635,4.5053,13524.8387,7.7608,0,0.9992,0.0004,78737
Mango,3,0.9258,0.0058,5.3091,79441.435,3241.9017,3068.2412,0.9918,15087.4317,15949,5.1954,15817.3258,8.4703,0,1.0,0.0005,80100
Mango,4,0.9237,0.0065,5.3091,79241.5134,3235.1697,3068.6245,0.9918,15049.1803,15963,5.1907,15831.4885,8.4641,0,0.9994,0.0005,79897
Mango,5,0.9267,0.0047,5.3381,80501.3692,3280.6904,3115.1219,0.9917,15206.5217,15941,5.1003,15808.731,8.3616,0,1.0,0.0005,81174
Mango,6,0.9283,0.004,6.8177,78380.0403,3367.2436,3033.7542,0.994,11565.9574,11874,3.9012,11803.1499,7.1644,0,0.9952,0.0004,78853
Vitamin C,0,0.8146,0.012,4.6998,2294.5504,1591.6189,183.9967,0.4729,1032.4074,769,4.1756,363.819,18.4352,0,0.8426,0.0016,4852
Vitamin C,1,0.7047,0.0,4.6998,2239.3526,1572.3848,182.9113,0.4699,1013.8889,1165,6.3615,547.3443,22.1472,0,0.8834,0.0016,4765
Vitamin C,2,0.7704,0.0,4.0906,2162.1569,1492.2429,181.275,0.4593,1150.7092,1524,8.4003,700.1411,23.9063,0,0.9571,0.0016,4707
Vitamin C,3,0.758,0.0,4.0616,2180.0317,1501.8599,184.7159,0.4575,1173.2143,1541,8.3409,705.0053,23.9495,0,0.9657,0.0016,4765
Vitamin C,4,0.7549,0.0,4.0616,2190.572,1508.2713,184.5665,0.4569,1180.3571,1538,8.3165,702.674,23.9773,0,0.9724,0.0016,4794
Vitamin C,5,0.9421,0.0,4.0906,1725.5323,969.7816,187.2491,0.3535,1193.2624,1983,10.5485,700.8585,15.8068,0,1.0,0.0016,4881
Vitamin C,6,0.9482,0.0096,5.5122,1852.3334,1114.55,181.1048,0.3887,864.4737,1002,5.5199,389.5505,10.8274,0,0.9967,0.0016,4765
