round,bonus_penalty,customer
-2,-200299.1826,Food & Groceries
-1,-252765.9987,Food & Groceries
0,-252765.9987,Food & Groceries
1,-97978.966,Food & Groceries
2,-222088.3472,Food & Groceries
3,-12658.8156,Food & Groceries
4,20225.6303,Food & Groceries
5,12136.8658,Food & Groceries
6,-14341.1618,Food & Groceries
-2,-38970.5848,LAND Market
-1,-46359.7801,LAND Market
0,-46359.7801,LAND Market
1,-3790.6431,LAND Market
2,3063.7147,LAND Market
3,11810.2723,LAND Market
4,10262.7314,LAND Market
5,6194.1931,LAND Market
6,1291.352,LAND Market
-2,-16853.9492,Dominick's
-1,-23582.4716,Dominick's
0,-23582.4716,Dominick's
1,-16026.4731,Dominick's
2,-20213.6952,Dominick's
3,2698.5963,Dominick's
4,5769.7268,Dominick's
5,2884.964,Dominick's
6,-3994.12,Dominick's
