customer,Product,round,Demand per week (units),Demand per week (value),Sales price,Gross margin per week,Gross margin per piece,attained_shelf_life,service_level_pieces,service_level_order_lines,Additional sales as a result of promotions (%),osa,Carbon footprint,Additional sales next round as a result of webshop service level
Food & Groceries,Fressie Orange 1 liter,0,42637.4916,15581.5622,0.3654,5692.368,0.1335,0.8528,0.9376,0.9191,0.0333,0.8707,1.0446,0
Food & Groceries,Fressie Orange 1 liter,1,42637.4916,16709.2339,0.3919,7286.0199,0.1709,0.8733,0.915,0.9003,0.0333,0.876,0.9521,0
Food & Groceries,Fressie Orange 1 liter,2,42637.4916,16038.9243,0.3762,6605.102,0.1549,0.8733,0.9117,0.8963,0.0333,0.8491,0.9541,0
Food & Groceries,Fressie Orange 1 liter,3,42637.4916,18777.4965,0.4404,9260.5202,0.2172,0.863,0.9472,0.9311,0.0333,0.8915,0.986,0
Food & Groceries,Fressie Orange 1 liter,4,42637.4916,19538.2938,0.4582,10330.2947,0.2423,0.8594,0.9785,0.9719,0.0333,0.9,0.9903,0
Food & Groceries,Fressie Orange 1 liter,5,42637.4916,20148.7211,0.4726,9889.8987,0.232,0.8618,0.9866,0.9813,0.0333,0.9,1.0552,0
Food & Groceries,Fressie Orange 1 liter,6,42637.4916,19943.9197,0.4678,10706.8348,0.2511,0.8803,0.9767,0.9659,0.0333,0.898,0.9719,0
Food & Groceries,Fressie Orange/Mango PET,0,15538.5673,3154.6982,0.203,1021.9093,0.0658,0.8516,0.9712,0.958,0.0348,0.975,1.5836,0
Food & Groceries,Fressie Orange/Mango PET,1,15538.5673,3383.0106,0.2177,1335.2037,0.0859,0.8645,0.9519,0.9377,0.0348,0.975,1.4894,0
Food & Groceries,Fressie Orange/Mango PET,2,15538.5673,3247.2973,0.209,1228.4652,0.0791,0.8678,0.9398,0.9224,0.0348,0.9467,1.4696,0
Food & Groceries,Fressie Orange/Mango PET,3,15538.5673,3801.7584,0.2447,1781.6318,0.1147,0.8665,0.959,0.9402,0.0348,0.975,1.4974,0
Food & Groceries,Fressie Orange/Mango PET,4,15538.5673,3955.7921,0.2546,2029.6976,0.1306,0.8603,0.9721,0.9631,0.0348,0.975,1.3952,0
