round,contracted_revenue,customer
-2,1297902.347,Food & Groceries
-1,1297902.347,Food & Groceries
0,1297902.347,Food & Groceries
1,1218754.1127,Food & Groceries
2,1297902.347,Food & Groceries
3,1272163.0838,Food & Groceries
4,1290309.2644,Food & Groceries
5,1339342.5608,Food & Groceries
6,1352083.4961,Food & Groceries
-2,632820.7696,LAND Market
-1,632820.7696,LAND Market
0,632820.7696,LAND Market
1,609127.0123,LAND Market
2,609127.0123,LAND Market
3,608322.2253,LAND Market
4,621682.5425,LAND Market
5,633200.0573,LAND Market
6,642956.4325,LAND Market
-2,698240.0321,Dominick's
-1,698240.0321,Dominick's
0,698240.0321,Dominick's
1,695698.7296,Dominick's
2,699132.9222,Dominick's
3,695086.4939,Dominick's
4,702298.3597,Dominick's
5,714386.8204,Dominick's
6,719881.5753,Dominick's
