product,round,Demand per week (units),Demand per week (value),Unit price,Gross margin per piece,Gross margin per week,service_level_pieces,service_level_order_lines,osa,Order lines per week,obsolete_pct,Obsoletes per week (value),Stock (weeks),Stock value,Economic inventory (weeks),mape,Bias,Production batches previous round,Start up productivity loss (value),production_plan_adherence,Assignable Contribution Rate,Carbon footprint,Rejects (value)
Fressie Orange 1 liter,0,67393.8853,25508.3237,0.3785,0.1466,9877.2161,0.9338,0.9213,0.8722,3.3899,0.0844,1319.3374,3.1682,49522.4829,7.5249,0.4899,0.0001,12.9971,934.4958,0.8294,568.6913,1.0406,645.9649
Fressie Orange 1 liter,1,67393.8853,26955.4904,0.4,0.179,12060.9228,0.9137,0.9016,0.8786,3.3899,0.037,551.5715,2.5464,37927.1212,6.6118,0.4899,0.0001,12.9971,890.4623,0.8558,674.1371,0.9481,615.5269
Fressie Orange 1 liter,2,67393.8853,26401.2015,0.3917,0.1705,11489.866,0.9115,0.8993,0.8614,3.3899,0.037,552.1925,2.5464,37969.8184,6.6118,0.4899,0.0001,12.9971,891.4647,0.8556,651.8284,0.9501,616.2199
Fressie Orange 1 liter,3,67394.0192,29274.516,0.4344,0.2112,14231.7154,0.9501,0.9404,0.8946,3.3899,0.0551,828.6801,2.9057,43710.4656,6.9733,0.4899,0.0001,12.9971,899.3225,0.8736,765.1851,0.982,259.0215
Fressie Orange 1 liter,4,67394.0192,30235.2688,0.4486,0.2327,15680.8464,0.9795,0.973,0.9,3.3899,0.0571,830.3567,3.0886,44952.1023,6.9568,0.4899,0.0001,12.9971,959.2742,0.9524,852.8514,0.9863,601.469
Fressie Orange 1 liter,5,67394.0192,30971.7854,0.4596,0.219,14756.4021,0.9856,0.9819,0.9,3.3899,0.0808,1310.0662,3.1498,51074.9932,5.9794,0.4899,0.0001,14.4477,1075.4553,0.9602,810.8199,1.0512,670.1091
Fressie Orange 1 liter,6,67393.8853,30848.8123,0.4577,0.2411,16248.4449,0.9772,0.9681,0.8988,3.3899,0.0391,571.3766,2.5752,37599.1652,5.3099,0.4899,0.0001,16.2464,1200.2013,0.9617,915.9503,0.9679,502.8074
Fressie Orange/Mango PET,0,51040.1428,11755.6801,0.2303,0.0931,4750.0244,0.9711,0.9611,0.985,3.0428,0.08,560.5581,3.2172,22538.7112,7.4605,0.5171,-0.0008,12.9971,1843.4178,0.8327,556.5252,1.5862,2336.1285
Fressie Orange/Mango PET,1,51040.1428,12076.2194,0.2366,0.1048,5349.7076,0.9521,0.9388,0.985,3.0428,0.0388,261.1069,2.7055,18198.8469,6.7531,0.5171,-0.0008,12.9971,1769.9658,0.8438,718.0466,1.4921,2243.0443
Fressie Orange/Mango PET,2,51040.1428,11945.543,0.234,0.1041,5314.2057,0.9399,0.9245,0.9662,3.0428,0.0309,205.0821,2.5581,16963.5714,6.5679,0.5171,-0.0008,12.9971,1744.9223,0.84,713.9055,1.4723,2211.3071
Fressie Orange/Mango PET,3,51039.5001,12723.8565,0.2493,0.1193,6088.3509,0.9552,0.9373,0.985,3.0428,0.0386,256.1618,2.7177,18033.5056,6.7775,0.5177,-0.0008,12.9971,1746.0411,0.8571,872.8732,1.4999,3017.3522
Fressie Orange/Mango PET,4,51039.5001,13014.5833,0.255,0.131,6687.9448,0.9719,0.9677,0.985,3.0428,0.0402,254.3311,2.8686,18148.3398,6.7481,0.5177,-0.0008,12.9971,1831.2437,0.9496,1007.5901,1.3978,2013.8311
Fressie Orange/Mango PET,5,51039.5001,13254.4303,0.2597,0.1283,6546.067,0.9803,0.9754,0.985,3.0428,0.0445,298.7829,2.9546,19820.6482,5.7633,0.5177,-0.0008,14.4477,1962.2229,0.9615,942.0693,1.4452,2643.7516
Fressie Orange/Mango PET,6,51040.7855,13207.405,0.2588,0.1332,6796.1542,0.9776,0.9674,0.9821,3.0428,0.0308,197.657,2.7157,17410.9144,5.5196,0.5173,-0.0008,16.2464,2319.61,0.9554,1064.6159,1.4278,3012.4805
Fressie Orange/C-power PET,0,17741.1471,5228.7308,0.2947,0.1547,2744.9912,0.8357,0.806,0.8301,2.6568,0.055,136.7242,2.3195,5760.9334,7.4467,0.5838,-0.0023,12.9971,1876.0341,0.7012,1259.1184,1.8304,1828.6533
Fressie Orange/C-power PET,1,17741.1471,5371.7553,0.3028,0.1635,2901.48,0.8692,0.8442,0.8884,2.6568,0.0534,131.8322,2.4293,6001.0964,7.2541,0.5838,-0.0023,12.9971,1865.8642,0.7459,1358.0212,1.8237,1814.5674
Fressie Orange/C-power PET,2,17741.1471,5313.6218,0.2995,0.1612,2859.9674,0.8967,0.8874,0.9238,2.6568,0.0522,128.1686,2.55,6256.9239,7.0418,0.5838,-0.0023,12.9971,1853.31,0.8104,1323.5259,1.8323,2127.4921
Fressie Orange/C-power PET,3,17741.4684,5660.3167,0.319,0.1808,3207.3557,0.9117,0.8971,0.9468,2.5697,0.0407,99.787,2.6488,6497.3659,7.0699,0.5838,-0.0023,16.1013,2296.2528,0.8247,1547.5587,1.897,2615.6049
Fressie Orange/C-power PET,4,17741.4684,5789.7872,0.3263,0.1937,3436.312,0.9428,0.9275,0.969,2.5697,0.0432,101.6124,2.7977,6584.4005,7.043,0.5838,-0.0023,16.0433,2419.0604,0.9008,1779.1591,1.8264,3026.2455
