round,value,supplier
-2,112250.87,Mono Packaging Materials
-1,110691.8301,Mono Packaging Materials
0,110691.8301,Mono Packaging Materials
1,106201.7953,Mono Packaging Materials
2,105827.6258,Mono Packaging Materials
3,107729.6544,Mono Packaging Materials
4,107932.3296,Mono Packaging Materials
5,110832.1437,Mono Packaging Materials
6,107029.6605,Mono Packaging Materials
-2,309591.2845,Trio PET PLC
-1,307931.2057,Trio PET PLC
0,307931.2057,Trio PET PLC
1,295294.2067,Trio PET PLC
2,287861.223,Trio PET PLC
3,292704.3325,Trio PET PLC
4,275661.9319,Plantin PET
5,279147.3631,Plantin PET
6,273332.4689,Plantin PET
-2,412440.4401,Miami Oranges
-1,409042.2309,Miami Oranges
0,409042.2309,Miami Oranges
1,389962.936,Miami Oranges
2,389962.936,Miami Oranges
3,397213.068,Miami Oranges
4,397980.2469,Miami Oranges
5,410385.7415,Medina Portogal
6,398436.3839,Medina Portogal
-2,83026.4396,NO8DO Mango
-1,81657.5009,NO8DO Mango
0,81657.5009,NO8DO Mango
1,77988.0689,NO8DO Mango
2,78099.1042,NO8DO Mango
3,79441.435,NO8DO Mango
4,79241.5134,NO8DO Mango
5,80501.3692,NO8DO Mango
6,78380.0403,NO8DO Mango
-2,2310.4717,Seitan Vitamins
-1,2294.5504,Seitan Vitamins
0,2294.5504,Seitan Vitamins
1,2239.3526,Seitan Vitamins
2,2162.1569,Seitan Vitamins
3,2180.0317,Seitan Vitamins
4,2190.572,Seitan Vitamins
5,1725.5323,AIL Vitamins
6,1852.3334,AIL Vitamins
