warehouse,Salesarea,round,Capacity,Usage,cube_utilization,overflow_pct,Orderlines per week,Pallets/Tanks per week,Hours per week,Flexible manpower (FTE)
Raw materials warehouse,,0,900,840.48,0.9339,0.1081,1.0411,212.4414,73.7963,0.1546
Raw materials warehouse,,1,900,728.72,0.8097,0.0858,1.0411,204.5046,70.7723,0.1232
Raw materials warehouse,,2,775,720.57,0.9298,0.143,1.0176,203.8351,72.2324,0.1462
Raw materials warehouse,,3,850,747.4,0.8793,0.1121,1.0187,208.2191,72.9605,0.1326
Raw materials warehouse,,4,1200,853.24,0.711,0.0181,1.0098,202.331,65.2564,0.0622
Raw materials warehouse,,5,1200,965.88,0.8049,0.0542,0.9752,203.6688,70.8545,0.0907
Raw materials warehouse,,6,1300,751.69,0.5782,0.0011,1.2531,200.3258,60.2885,0.0181
Tank yard,,0,20,5.8538,0.0,0.0,0.2075,1.195,,
Tank yard,,1,20,5.6086,0.0,0.0,0.2087,1.1448,,
Tank yard,,2,20,5.6117,0.0,0.0,0.2075,1.1381,,
Tank yard,,3,20,6.8259,0.0,0.0,0.2087,1.1649,,
Tank yard,,4,20,6.8489,0.0,0.0,0.2098,1.166,,
Tank yard,,5,20,6.8498,0.0,0.0,0.2075,1.1783,,
Tank yard,,6,20,5.466,0.0,0.0,0.2098,1.1426,,
Finished goods warehouse,DC Netherlands,0,1500,1061.1232,0.7074,0.0015,17.8175,334.5302,99.8428,0.0853
Finished goods warehouse,DC Netherlands,1,1300,893.8719,0.6876,0.0011,17.8175,334.5302,97.0456,0.0739
Finished goods warehouse,DC Netherlands,2,975,875.4896,0.8979,0.0507,17.8175,334.5302,110.5007,0.187
Finished goods warehouse,DC Netherlands,3,1050,978.6746,0.9321,0.0551,17.7304,334.0728,112.5656,0.2138
Finished goods warehouse,DC Netherlands,4,1700,1025.5289,0.6033,0.0,17.7304,334.0728,95.6469,0.0138
Finished goods warehouse,DC Netherlands,5,1425,1054.8933,0.7403,0.0005,17.7304,334.0728,96.9478,0.0098
Finished goods warehouse,DC Netherlands,6,1325,881.3294,0.6652,0.0001,17.8175,335.7007,95.9975,0.0062
